Title,Rating
The Godfather,9.2
The Shawshank Redemption,9.3
Shichinin no samurai,8.6
Cidade de Deus,8.6
The Godfather Part II,9
Pulp Fiction,8.9
12 Angry Men,9
One Flew Over the Cuckoo's Nest,8.7
The Lord of the Rings: The Return of the King,9
Schindler's List,9
Fight Club,8.8
The Usual Suspects,8.5
Goodfellas,8.7
Once Upon a Time in the West,8.5
Sunset Blvd.,8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4
M - Eine Stadt sucht einen Mörder,8.3
"Il buono, il brutto, il cattivo",8.8
Le fabuleux destin d'Amélie Poulain,8.3
Memento,8.4
Rear Window,8.5
A Clockwork Orange,8.3
Citizen Kane,8.3
Léon,8.5
City Lights,8.5
Oldeuboi,8.4
The Matrix,8.7
The Third Man,8.1
Nuovo Cinema Paradiso,8.5
Taxi Driver,8.2
The Dark Knight,9
Apocalypse Now,8.4
North by Northwest,8.3
Sen to Chihiro no kamikakushi,8.6
Paths of Glory,8.4
American History X,8.5
The Great Dictator,8.4
Yôjinbô,8.2
The Avengers,8
Requiem for a Dream,8.3
Det sjunde inseglet,8.1
Modern Times,8.5
Se7en,8.6
Chinatown,8.2
Ikiru,8.3
Ladri di biciclette,8.3
Eternal Sunshine of the Spotless Mind,8.3
Vertigo,8.3
Lawrence of Arabia,8.3
Das Boot,8.4
La vita è bella,8.6
Hotaru no haka,8.5
Psycho,8.5
Smultronstället,8.1
Raging Bull,8.1
Reservoir Dogs,8.3
Ran,8.2
Star Wars,8.6
The Lord of the Rings: The Fellowship of the Ring,8.8
Metropolis,8.3
Star Wars: Episode V - The Empire Strikes Back,8.7
Monty Python and the Holy Grail,8.2
Amores perros,8.1
The Pianist,8.5
Donnie Darko,8
Once Upon a Time in America,8.3
American Beauty,8.3
Der Untergang,8.2
Django Unchained,8.5
L.A. Confidential,8.2
Blade Runner,8.1
Mononoke-hime,8.3
The Shining,8.4
Inception,8.8
Rashômon,8.2
Tonari no Totoro,8.1
Trainspotting,8.1
The Treasure of the Sierra Madre,8.2
Redirected,6.4
Casablanca,8.5
All About Eve,8.2
The Lord of the Rings: The Two Towers,8.8
Seppuku,8.6
The Big Lebowski,8.1
The Apartment,8.3
Jodaeiye Nader az Simin,8.3
Touch of Evil,8
Der Himmel über Berlin,8
The Silence of the Lambs,8.6
Some Like It Hot,8.2
On the Waterfront,8.1
8½,8
Festen,8.1
Amadeus,8.4
Sin City,8
Full Metal Jacket,8.3
Idi i smotri,8.4
Snatch,8.2
Fanny och Alexander,8.1
Raiders of the Lost Ark,8.4
